27,27,27,Black
35,37,40,Black
19,20,21,Black
4,4,4,Black
34,34,36,Black
22,21,20,Black
20,20,20,Black
27,27,29,Black
17,17,18,Black
32,32,32,Black
208,205,206,Black
7,22,64,Blue
155,190,216,Blue
44,53,107,Blue
15,119,182,Blue
37,154,206,Blue
38,143,197,Blue
4,4,150,Blue
5,83,185,Blue
5,44,157,Blue
46,51,188,Blue
11,91,58,Green
8,171,102,Green
87,117,68,Green
10,123,73,Green
39,158,104,Green
25,103,55,Green
23,166,41,Green
235,73,19,orange
235,84,32,orange
213,208,204,orange
247,149,40,orange
236,118,57,orange
214,104,40,orange
243,155,51,orange
243,95,41,orange
57,57,57,orange
250,91,37,orange
146,5,26,red
174,15,37,red
144,20,30,red
115,13,20,red
213,34,29,red
199,25,34,red
193,36,49,red
149,22,21,red
227,23,19,red
189,19,22,red
190,149,183,Violet
177,100,209,Violet
164,4,252,Violet
158,43,225,Violet
116,76,154,Violet
192,135,208,Violet
63,23,48,Violet
70,4,95,Violet
107,71,166,Violet
172,63,134,Violet
248,252,252,White
190,183,170,White
181,181,180,White
232,230,229,White
244,243,240,White
213,212,219,White
223,228,228,White
226,226,226,White
202,202,199,White
228,228,228,White
239,240,240,White
228,228,228,White
234,234,234,White
234,234,234,White
237,238,241,White
235,235,235,White
60,44,20,Brown
100,68,36,Brown
76,52,36,Brown
36,15,11,Brown
195,120,36,Brown
114,43,8,Brown
184,111,36,Brown
92,53,41,Brown
90,52,33,Brown
116,64,21,Brown
101,49,18,Brown
110,57,20,Brown
58,33,16,Brown
100,52,21,Brown
198,100,31,Brown
57,28,14,Brown
136,65,29,Brown
88,72,56,Brown
242,233,221,yellow
246,206,70,yellow
246,242,225,yellow
235,186,37,yellow
250,231,5,yellow
248,235,67,yellow
250,202,45,yellow
244,185,27,yellow
248,217,6,yellow/
244,244,244,mask_black
246,246,246,mask_black
4,4,4,mask_black
4,4,4,mask_black
4,4,4,mask_black
12,12,12,mask_black
4,4,4,mask_black
4,4,4,mask_black
252,252,252,mask_black
4,4,4,mask_black
245,245,245,mask_black
4,4,4,mask_blue
4,4,4,mask_blue
246,246,246,mask_blue
246,246,246,mask_blue
245,245,245,mask_blue
245,245,245,mask_blue
4,4,4,mask_blue
4,4,4,mask_blue
4,4,4,mask_blue
245,245,245,mask_blue
245,245,245,mask_green
245,245,245,mask_green
244,244,244,mask_green
245,245,245,mask_green
245,245,245,mask_green
244,244,244,mask_green
245,245,245,mask_green
245,245,245,mask_orange
245,245,245,mask_orange
245,245,245,mask_orange
245,245,245,mask_orange
244,244,244,mask_orange
244,244,244,mask_orange
236,236,236,mask_orange
244,244,244,mask_orange
245,245,245,mask_orange
245,245,245,mask_orange
4,4,4,mask_red
246,246,246,mask_red
246,246,246,mask_red
245,245,245,mask_red
245,245,245,mask_red
4,4,4,mask_red
245,245,245,mask_red
4,4,4,mask_red
245,245,245,mask_red
246,246,246,mask_red
4,4,4,mask_violet
245,245,245,mask_violet
4,4,4,mask_violet
244,244,244,mask_violet
245,245,245,mask_violet
245,245,245,mask_violet
245,245,245,mask_violet
4,4,4,mask_violet
245,245,245,mask_violet
244,244,244,mask_violet
4,4,4,mask_white
4,4,4,mask_white
4,4,4,mask_white
252,252,252,mask_white
245,245,245,mask_white
4,4,4,mask_white
5,5,5,mask_white
20,20,20,mask_white
5,5,5,mask_white
4,4,4,mask_brown
4,4,4,mask_brown
4,4,4,mask_brown
4,4,4,mask_brown
245,245,245,mask_brown
4,4,4,mask_brown
245,245,245,mask_brown
4,4,4,mask_brown
4,4,4,mask_brown
244,244,244,mask_brown
4,4,4,mask_brown
4,4,4,mask_brown
244,244,244,mask_brown
236,236,236,mask_brown
4,4,4,mask_brown
4,4,4,mask_brown
245,245,245,mask_brown
245,245,245,mask_brown
4,4,4,mask_yellow
245,245,245,mask_yellow
243,243,243,mask_yellow
248,248,245,mask_yellow
245,245,245,mask_yellow
249,249,248,mask_yellow
240,240,239,mask_yellow
244,244,244,mask_yellow
245,245,244,mask_yellow
